Year,LE_Both,LE_Male,LE_Female,HALE_Both,U5MR,IMR,NMR,MMR,SBA_pct,Malaria_Inc,CHE_GDP
2000,53.3,51.8,54.9,46.2,236,157,49,1940,51,458,4.8
2001,54.2,52.7,55.8,47.0,222,149,47,1830,52,443,5.0
2002,55.1,53.6,56.7,47.8,209,141,45,1730,53,429,5.2
2003,56.0,54.4,57.6,48.6,197,133,43,1630,55,415,5.5
2004,56.8,55.2,58.5,49.3,185,125,41,1540,56,400,6.0
2005,57.6,56.0,59.3,50.0,174,118,40,1450,58,385,6.5
2006,58.3,56.7,60.0,50.7,163,111,38,1360,60,371,7.2
2007,59.0,57.4,60.6,51.3,154,104,37,1280,62,357,7.8
2008,59.7,58.0,61.3,51.9,145,98,36,1210,63,343,8.5
2009,60.3,58.6,62.0,52.5,136,93,34,1140,65,328,9.0
2010,60.9,59.2,62.7,53.0,128,88,33,1080,66,314,9.8
2011,61.3,59.6,63.0,53.4,120,83,32,1010,67,300,10.5
2012,61.7,60.0,63.4,53.8,113,78,31,960,68,287,11.2
2013,62.0,60.3,63.7,54.1,106,74,31,910,69,275,12.0
2014,62.2,60.5,64.0,54.4,100,70,30,870,70,263,12.8
2015,62.6,60.8,64.4,54.7,94,66,30,840,72,252,13.5
2016,62.9,61.1,64.7,55.0,90,63,30,810,73,242,14.0
2017,63.1,61.3,65.0,55.2,87,60,30,790,74,232,14.8
2018,63.3,61.5,65.2,55.4,84,57,30,760,75,222,15.5
2019,63.4,61.6,65.3,55.5,82,55,30,740,77,212,16.0
2020,63.5,61.7,65.4,55.6,79,53,30,720,79,202,16.6
2021,63.5,61.7,65.4,55.6,77,51,30,700,80,193,16.6
